source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error
3400619663181072896,80.93721508765726,18.543788542880566,0.47666185774699854,0.02908158,9.751417,11.397748,8.518408,2.8793402,1.6463308,1.2330093,-63.13121,0.719604
3424690304880179840,90.53712362500804,23.60717113696322,0.29775585816648936,0.04160715,9.752146,10.423682,8.956795,1.4668875,0.67153645,0.795351,40.96046,1.1111413
3349978249254466432,88.63816056679929,17.149993683116804,0.7394684214605585,0.01805776,9.753892,10.412738,8.971566,1.4411716,0.6588459,0.78232574,,
3428937168543848832,87.3702645516686,24.833760543487873,0.9148679839248638,0.021054244,9.75452,9.887931,9.485417,0.4025135,0.13341045,0.26910305,,
3414476666490146048,81.37830286453443,21.918655914963647,0.8104799137457553,0.02334488,9.758715,9.965287,9.388441,0.5768461,0.20657253,0.3702736,,
3424610285346855552,91.2860258446347,23.247740859487234,0.8561545020058172,0.034905072,9.762285,10.843367,8.743359,2.100008,1.0810814,1.0189266,-3.3872404,0.4871896
3428094740774176256,88.14813155915647,24.226802214992915,0.934590199985919,0.02365182,9.764408,9.867216,9.548293,0.318923,0.102808,0.216115,,
3400474184048444288,82.37056974825688,18.438468256810534,0.69832507651799,0.026210783,9.764837,10.536262,8.904895,1.6313667,0.7714243,0.85994244,27.002012,0.3082194
3404048382817436416,83.06121654997679,22.580526808263166,0.6733993988537023,0.0809939,9.768758,10.556972,8.897071,1.6599007,0.78821373,0.87168694,,
3395371483727147008,79.27334945446437,18.10383248403542,0.35041009790752675,0.040394686,9.770833,11.7617445,8.443463,3.3182812,1.9909115,1.3273697,,
3427852088003890304,88.94936512017293,23.968751055355806,0.9186649359691906,0.023149561,9.774521,9.861824,9.585348,0.2764759,0.08730316,0.18917274,,
3424578640027092864,90.82026328276817,22.94047590512482,0.7402949714165733,0.016654216,9.774805,10.753847,8.803693,1.9501543,0.97904205,0.97111225,-14.189389,0.25430298
3428007741917521024,89.77145480859964,24.797176041586834,0.9135808814937337,0.02244261,9.774891,10.983038,8.700647,2.2823906,1.208147,1.0742435,,
3394013969119314560,78.50555240401846,16.69669291137508,0.5963508485108323,0.04431114,9.77543,12.059473,8.39557,3.6639032,2.2840433,1.3798599,,
3443092904010588032,86.76740992659305,27.937097069349274,0.7704093565890469,0.021161158,9.779179,9.843768,9.619504,0.22426414,0.0645895,0.15967464,,
3429549944414873600,90.09870622834254,25.293056232686705,0.4613015429694428,0.06799702,9.779643,10.622949,8.878597,1.7443514,0.8433056,0.9010458,,
3407765904646174592,77.48445489047019,19.365855390451436,0.6353694698876172,0.029586058,9.780104,11.261583,8.60773,2.6538534,1.4814796,1.1723738,35.823284,1.1192269
3395062937572726016,77.8463827363809,17.689718951835875,0.5276928083252198,0.034743182,9.780397,11.760097,8.457523,3.3025732,1.9796991,1.3228741,-34.47484,0.3377297
3421458977645328128,79.28601944982306,27.694317832152326,0.5432629232360813,0.039183214,9.780516,12.152527,8.498311,3.6542158,2.3720112,1.2822046,,
3443102971413571456,86.93620177065633,28.181364902956737,0.7235755094930476,0.031078946,9.7809725,9.79212,9.716726,0.07539368,0.011147499,0.06424618,,
3397123383707898240,82.29014757401136,16.4628982810729,0.7389836144620227,0.02183698,9.784322,11.137243,8.658862,2.4783812,1.3529215,1.1254597,61.662884,0.18963031
3348227143845355776,86.42019988585386,15.730280080487024,0.5199820084274301,0.043554783,9.784442,12.184536,8.379225,3.8053112,2.400094,1.4052172,,
3398582710515145216,88.80741378746247,18.792367115214102,0.9013670198011997,0.016971925,9.785586,10.356514,9.06804,1.2884741,0.5709276,0.71754646,9.706337,0.28403044
